period,start_year,end_year,income_tax_change_pt,resident_tax_change_pt,pension_change_pt,health_insurance_change_pt,employment_insurance_change_pt,component_sum_change_pt,total_burden_change_pt,decomposition_error_pt
1990→2000,1990,2000,-1.151413044660398,-0.8644857029541243,1.709723054659102,0.26698220940369194,-0.14999999999999997,-0.18919348355172827,-0.18919348355172505,3.219646771412954e-15
2000→2010,2000,2010,-1.6634150000586039,2.231083663549673,0.8801489078381506,1.124388490442426,0.15852008575720553,2.730726147528851,2.7307261475288502,-8.881784197001252e-16
2010→2020,2010,2020,-0.02721546677895495,-0.1173480995666297,1.2620373619462235,0.42731167491726757,-0.25852008575720553,1.2862653847607008,1.2862653847607013,4.440892098500626e-16
2020→2025,2020,2025,-0.351513525786425,0.22740277073750106,-0.12128327981409531,-0.06627501629185503,0.2601019089265856,-0.051567142228288676,-0.05156714222828984,-1.1657341758564144e-15
2015→2025,2015,2025,-0.34388331385343807,0.23904802261926344,0.17542380202986152,-0.09436908802959582,0.060101908926585554,0.03632133169267664,0.03632133169267637,-2.636779683484747e-16
1990→2025,1990,2025,-3.193557037284382,1.47665263176642,3.7306260446293806,1.7524073584715305,0.010101908926585593,3.7762309065095345,3.7762309065095367,2.220446049250313e-15
