period,start_year,end_year,wage_log_contribution_pt,burden_log_contribution_pt,price_log_contribution_pt,real_take_home_log_change_pt,decomposition_total_pt,decomposition_error_pt,real_take_home_pct_change,burden_change_pt
1990→2000,1990,2000,7.910143383139199,0.227641972176476,-7.184964527764344,0.9528208275513378,0.9528208275513306,7.216449660063518e-15,0.9573746168581199,-0.1891934835517195
2000→2010,2000,2010,-11.046680006697022,-3.3369995039507607,3.0188322616248833,-11.364847249022905,-11.3648472490229,-5.329070518200751e-15,-10.742833576495947,2.7307261475288502
2010→2020,2010,2020,0.048184253323464446,-1.6112727583314408,-6.685230698784041,-8.248319203792008,-8.248319203792018,1.0658141036401503e-14,-7.917308504939635,1.2862653847606986
2020→2025,2020,2025,11.091517925519177,0.06509890904807229,-13.124753660967276,-1.968136826400008,-1.9681368264000252,1.709743457922741e-14,-1.9488954525143876,-0.051567142228281515
2015→2025,2015,2025,11.973314653504925,-0.045827011946286654,-15.34931455569924,-3.421826914140606,-3.421826914140601,-5.329070518200751e-15,-3.3639445072174645,0.03632133169269025
1990→2025,1990,2025,8.003165555284815,-4.655531381057652,-23.976116625890757,-20.628482451663587,-20.628482451663594,7.105427357601002e-15,-18.639869032168143,3.776230906509548
