period,start_year,end_year,start_burden_pct,end_burden_pct,wage_effect_pt,tax_policy_effect_pt,social_insurance_policy_effect_pt,policy_effect_pt,total_change_pt,shapley_sum_pt,decomposition_error_pt
1990→2000,1990,2000,16.984455213715393,16.79526173016367,0.947760682823926,-2.087842483964154,0.950888317588503,-1.1369541663756508,-0.18919348355172505,-0.18919348355172483,-2.220446049250313e-16
2000→2010,2000,2010,16.79526173016367,19.52598787769252,-0.22522494831585527,1.2730186410617268,1.682932454782979,2.9559510958447057,2.7307261475288502,2.7307261475288502,0.0
2010→2020,2010,2020,19.52598787769252,20.812253262453222,0.0554657603085526,0.07070515706930486,1.160094467382844,1.2307996244521489,1.2862653847607013,1.2862653847607013,0.0
2020→2025,2020,2025,20.812253262453222,20.760686120224932,0.23397373867883922,-0.5073613707081782,0.22182048980104915,-0.28554088090712904,-0.05156714222828984,-0.05156714222828987,2.7755575615628914e-17
2015→2025,2015,2025,20.724364788532252,20.760686120224932,0.19967601066673835,-0.5084175296158913,0.34506285064182934,-0.16335467897406192,0.03632133169267637,0.03632133169267643,-5.551115123125783e-17
1990→2025,1990,2025,16.984455213715393,20.760686120224932,0.6844596697177237,-1.1345348907101571,4.22630612750197,3.091771236791813,3.7762309065095367,3.7762309065095367,0.0
