period,start_year,end_year,start_cpi,end_cpi,start_nominal_take_home_yen,end_nominal_take_home_yen,start_real_take_home_yen,end_real_take_home_yen,wage_effect_yen,tax_policy_effect_yen,social_insurance_policy_effect_yen,price_effect_yen,total_change_yen,shapley_sum_yen,decomposition_error_yen,wage_effect_pct_of_start,tax_policy_effect_pct_of_start,social_insurance_policy_effect_pct_of_start,price_effect_pct_of_start,total_change_pct,shapley_sum_pct_of_start
1990→2000,1990,2000,89.71666666666665,96.39999999999999,3270312.711,3547572.136,3645156.281998886,3680054.082987552,248086.43216690057,92157.58577602931,-41967.64618928009,-263378.57076498354,34897.80098866625,34897.80098866626,-1.4551915228366852e-11,6.805920322046055,2.5282204286037655,-1.1513263888446064,-7.225439744947101,0.9573746168581124,0.9573746168581128
2000→2010,2000,2010,96.39999999999999,93.53333333333335,3547572.136,3072300.6215,3680054.082987552,3284711.9973271554,-374285.9480536051,-54264.36903138804,-71874.15228253994,105082.3837071365,-395342.0856603966,-395342.0856603966,0.0,-10.170664333002172,-1.474553574694614,-1.9530732609285693,2.855457592129413,-10.742833576495944,-10.742833576495944
2010→2020,2010,2020,93.53333333333335,100.0,3072300.6215,3024651.215,3284711.9973271554,3024651.215,-671.066990140127,-2793.3357091944977,-45831.11731319797,-210765.262314623,-260060.78232715558,-260060.78232715558,0.0,-0.02043001001872278,-0.08504050618341877,-1.3952857160838388,-6.41655227265366,-7.91730850493964,-7.91730850493964
2020→2025,2020,2025,100.0,114.02499999999999,3024651.215,3381643.9005,3024651.215,2965703.9250164437,324276.88854542613,19193.356720017542,-8408.759284614236,-394008.77596438554,-58947.28998355614,-58947.2899835561,-4.3655745685100555e-11,10.721133297527203,0.63456429702813,-0.2780075680433202,-13.026585479026402,-1.9488954525143865,-1.9488954525143851
2015→2025,2015,2025,97.8,114.02499999999999,3001424.7,3381643.9005,3068941.411042945,2965703.9250164437,354945.94007580634,19374.854561815777,-13173.298719848855,-464384.98194427445,-103237.48602650128,-103237.48602650118,-1.0186340659856796e-10,11.56574507413558,0.6313204446360366,-0.4292456894891343,-15.131764336499941,-3.3639445072174636,-3.363944507217461
1990→2025,1990,2025,89.71666666666665,114.02499999999999,3270312.711,3381643.9005,3645156.281998886,2965703.9250164437,236601.75605014522,46423.34066461675,-172288.34965067633,-790189.1040465278,-679452.3569824421,-679452.3569824421,0.0,6.490853553208985,1.273562422930182,-4.726501041985475,-21.67778396632184,-18.639869032168146,-18.639869032168146
