year,yoy_pct
1991,4.4
1992,2.0
1993,0.3
1994,1.5
1995,1.1
1996,1.1
1997,1.6
1998,-1.3
1999,-1.5
2000,0.1
2001,-1.6
2002,-2.9
2003,-0.7
2004,-0.5
2005,0.8
2006,0.2
2007,-0.9
2008,-0.3
2009,-3.8
2010,0.6
2011,-0.3
2012,-0.8
2013,-0.2
2014,0.5
2015,0.1
2016,0.6
2017,0.4
2018,1.4
2019,-0.4
2020,-1.2
2021,0.3
2022,2.0
2023,1.2
2024,2.8
2025,2.3
